Structure [idcode]	Molecule Name	MolRegNo	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Index	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	InChI-Key	Molecular Formula	Monoisotopic Mass	Druglikeness	
dg}L@DlJMIegWXfeVi`BX@@	Compound 1	349012	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	AARFXJVACBOQII-UHFFFAOYSA-N	C9H6N2O3	190.037843	-0.89362	
elZRJ@DH@bo`DILjhIPyInYYwvV[yU]XSPrpyyhHIJfif``bjD@`\P	Compound 2	738938	=	41390	nM	IC50	0.17	9.20	3.72	589666		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	AAVOXWIZJYSGEP-UHFFFAOYSA-N	C26H28N4O5	476.205971	2.1338	
elZRJ@DH@bo`DILjhIPyInYYwvV[yU]XSPrpyyhHIJfif``bjD@`\P	Compound 3	738938	=	81.43	%	Inhibition				589665		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	AAVOXWIZJYSGEP-UHFFFAOYSA-N	C26H28N4O5	476.205971	2.1338	
elZRJ@DH@bo`DILjhIPyInYYwvV[yU]XSPrpyyhHIJfif``bjD@`\P	Compound 4	738938		0		Inhibition				589667		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	AAVOXWIZJYSGEP-UHFFFAOYSA-N	C26H28N4O5	476.205971	2.1338	
elZRJ@DH@bo`DILjhIPyInYYwvV[yU]XSPrpyyhHIJfif``bjD@`\P	Compound 5	738938	=	9930	nM	Ki	0.20	10.50	4.25	589724		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	AAVOXWIZJYSGEP-UHFFFAOYSA-N	C26H28N4O5	476.205971	2.1338	
ffcQb@BAyHhHcHhdeeMEDhlYQghaS@AS@QCLD@@	Compound 6	493034	=	1080	nM	IC50				341535		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 18 (20), 5684-5688 (2008)	18796354	10.1016/j.bmcl.2008.08.082	ADZDQOZVSUYRGT-UHFFFAOYSA-N	C16H11N2O3Cl	314.045820	1.3949	
fj}q`@DQJAglbbbbVRbtTSIsSoQZibAbflH@@	Compound 7	316590	=	7200	nM	IC50	0.33	18.28	5.90	238671		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	AGHODQJTQBGFTA-UHFFFAOYSA-N	C15H11N3O3	281.080042	-4.4875	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 8	314701	=	38700	nM	IC50	0.29	15.97	9.33	678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 9	314701	=	11500	nM	IC50	0.32	17.88	10.45	678310		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 10	314701	=	8800	nM	IC50	0.33	18.30	10.69	678190		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
